stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\school shit\hongan\final-allegro\End-of-term\FUNCTIONS\GAME_FRAME\bin\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.03377] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03379] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03380] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03382] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03383] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03385] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03386] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03387] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03389] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03390] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03392] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03393] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03394] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03396] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03397] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03399] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03400] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03401] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03403] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03404] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03405] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03407] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.03408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03409] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03410] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03412] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03413] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03415] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03416] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03418] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03419] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03420] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03422] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03424] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03425] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03427] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03428] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03430] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03433] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03434] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03435] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03437] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03438] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03440] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03441] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03443] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03444] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03445] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03447] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03448] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03450] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03451] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03452] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03454] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03456] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03457] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03458] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03460] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03461] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03462] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03464] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03470] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03472] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03474] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03475] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03476] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03478] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03479] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03481] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03482] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03484] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03485] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03486] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03488] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03489] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03490] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03492] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03493] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03495] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03496] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03497] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03499] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03500] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03502] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03503] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.03504] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03506] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03508] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03509] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03511] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03512] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03514] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03515] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03520] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03522] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03524] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03525] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03527] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03528] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03530] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03531] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03533] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03534] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03535] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03537] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03538] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03540] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03541] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03542] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03544] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03545] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03549] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03550] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03552] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.03554] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.03578] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.03581] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.05372] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.06940] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.06945] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.06948] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.06952] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.06956] Returning d3d_display: 00000286757ce9e0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.06957] al_display=00000286757ce9e0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.06959] al_display->vt=00000286757ce870
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.06989] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.06991] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.07043] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.07047] Module "d3dx9_43.dll" loaded.
d3d      I         d3d_disp.cpp:910  d3d_destroy_display              [   1.62048] destroying display 00000286757ce9e0 (current 0000000000000000)
d3d      D         d3d_disp.cpp:894  d3d_destroy_display_internals    [   1.62337] waiting for display 00000286757ce9e0's thread to end
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [   1.63534] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [   1.63540] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1557 d3d_display_thread_proc          [   1.64262] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64460] removed dtor for sample_instance 00000286740078f0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64465] removed dtor for sample_instance 00000286740089c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64466] removed dtor for sample_instance 0000028674008ae0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64467] removed dtor for sample_instance 00000286757cc7f0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64468] removed dtor for sample_instance 000002867400e080
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64469] removed dtor for sample_instance 000002867400e1a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64470] removed dtor for sample_instance 000002867400e2c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64472] removed dtor for sample_instance 000002867400e3e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64473] removed dtor for sample_instance 000002867400e610
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64475] removed dtor for mixer 00000286740076b0
audio-dsound D           dsound.cpp:539  _dsound_stop_voice               [   1.64478] Stopping voice
audio-dsound D           dsound.cpp:556  _dsound_stop_voice               [   1.64481] Joining thread
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [   1.64591] Joined thread
audio-dsound D           dsound.cpp:564  _dsound_stop_voice               [   1.64595] Destroying thread
audio-dsound D           dsound.cpp:566  _dsound_stop_voice               [   1.64596] Thread destroyed
audio-dsound D           dsound.cpp:573  _dsound_stop_voice               [   1.64598] Releasing buffer
audio-dsound I           dsound.cpp:577  _dsound_stop_voice               [   1.64599] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.64602] removed dtor for voice 0000028674007510
audio-dsound D           dsound.cpp:391  _dsound_deallocate_voice         [   1.64604] Deallocating voice
audio-dsound D           dsound.cpp:396  _dsound_deallocate_voice         [   1.64607] Deallocated voice
audio-dsound D           dsound.cpp:304  _dsound_close                    [   1.64609] Releasing device
audio-dsound D           dsound.cpp:309  _dsound_close                    [   1.66865] Released device
audio-dsound I           dsound.cpp:310  _dsound_close                    [   1.66871] DirectSound closed
